Order Region,total_orders,avg_delay,median_delay,delay_std,late_orders,late_rate
Central Asia,553,0.646,1.0,1.475,316,57.1
Central Africa,1677,0.64,1.0,1.48,1018,60.7
South Asia,7731,0.597,1.0,1.501,4523,58.5
Western Europe,27109,0.597,1.0,1.505,15863,58.5
US Center ,5887,0.587,1.0,1.441,3363,57.1
East of USA,6915,0.585,1.0,1.462,4009,58.0
Eastern Europe,3920,0.58,1.0,1.494,2252,57.4
South of  USA ,4045,0.58,1.0,1.52,2350,58.1
East Africa,1852,0.571,1.0,1.452,1064,57.5
West Asia,6009,0.569,1.0,1.475,3455,57.5
Eastern Asia,7280,0.566,1.0,1.517,4130,56.7
Central America,28341,0.562,1.0,1.486,16224,57.2
Southeast Asia,9539,0.558,1.0,1.498,5531,58.0
West of USA ,7993,0.557,1.0,1.515,4524,56.6
South America,14935,0.556,1.0,1.504,8548,57.2
Oceania,10148,0.556,1.0,1.473,5694,56.1
North Africa,3232,0.552,1.0,1.466,1832,56.7
West Africa,3696,0.551,1.0,1.475,2033,55.0
Caribbean,8318,0.547,1.0,1.489,4648,55.9
Northern Europe,9792,0.547,1.0,1.505,5524,56.4
Southern Europe,9431,0.516,1.0,1.464,5350,56.7
Southern Africa,1157,0.479,1.0,1.438,651,56.3
Canada,959,0.391,1.0,1.534,498,51.9
