Category Name,total_orders,avg_delay,median_delay,delay_std,late_orders,late_rate
Golf Bags & Carts,61,0.77,1.0,1.476,42,68.9
Soccer,138,0.717,1.0,1.625,77,55.8
Pet Supplies,492,0.709,1.0,1.435,302,61.4
Strength Training,111,0.667,1.0,1.473,66,59.5
Boxing & MMA,423,0.667,1.0,1.462,251,59.3
As Seen on  TV!,68,0.662,1.0,1.636,40,58.8
Lacrosse,343,0.659,1.0,1.432,213,62.1
Women's Clothing,650,0.652,1.0,1.524,381,58.6
Tennis & Racquet,328,0.649,1.0,1.449,190,57.9
Cameras ,592,0.645,1.0,1.458,367,62.0
Consumer Electronics,431,0.638,1.0,1.58,255,59.2
Crafts,484,0.634,1.0,1.479,288,59.5
Trade-In,974,0.631,1.0,1.577,569,58.4
Kids' Golf Clubs,384,0.62,1.0,1.483,224,58.3
Sporting Goods,357,0.619,1.0,1.514,214,59.9
Golf Gloves,1070,0.616,1.0,1.479,625,58.4
Fitness Accessories,309,0.615,1.0,1.487,184,59.5
Accessories,1780,0.589,1.0,1.489,1053,59.2
Girls' Apparel,1201,0.585,1.0,1.519,704,58.6
Baseball & Softball,632,0.584,1.0,1.537,357,56.5
Children's Clothing,652,0.58,1.0,1.555,369,56.6
Golf Shoes,524,0.578,1.0,1.506,303,57.8
Cleats,24551,0.577,1.0,1.491,14076,57.3
Video Games,838,0.576,1.0,1.515,472,56.3
Shop By Sport,10984,0.575,1.0,1.503,6328,57.6
Music,434,0.574,1.0,1.462,258,59.4
Electronics,3156,0.572,1.0,1.479,1847,58.5
Water Sports,15540,0.567,1.0,1.486,8891,57.2
Indoor/Outdoor Games,19298,0.565,1.0,1.489,11043,57.2
Men's Footwear,22246,0.564,1.0,1.492,12664,56.9
Hunting & Shooting,440,0.561,1.0,1.432,257,58.4
Women's Apparel,21035,0.56,1.0,1.486,12017,57.1
Women's Golf Clubs,181,0.558,1.0,1.648,103,56.9
Fishing,17325,0.555,1.0,1.495,9930,57.3
Cardio Equipment,12487,0.554,1.0,1.485,7110,56.9
Toys,529,0.552,1.0,1.45,309,58.4
Camping & Hiking,13729,0.551,1.0,1.486,7812,56.9
Garden,484,0.55,1.0,1.531,276,57.0
Golf Balls,1475,0.548,1.0,1.519,847,57.4
Books ,405,0.533,1.0,1.431,233,57.5
Health and Beauty,362,0.533,1.0,1.42,212,58.6
DVDs,483,0.53,1.0,1.507,272,56.3
Men's Clothing,208,0.514,1.0,1.461,118,56.7
Basketball,67,0.478,1.0,1.735,40,59.7
Golf Apparel,441,0.474,1.0,1.489,235,53.3
Hockey,614,0.469,1.0,1.472,342,55.7
CDs ,271,0.461,1.0,1.434,147,54.2
Computers,442,0.455,1.0,1.535,233,52.7
Baby ,207,0.444,1.0,1.406,113,54.6
Men's Golf Clubs,283,0.325,0.0,1.539,141,49.8
